,text,text_final
112,"['hey', 'guys', 'im', 'not', 'an', 'airport', 'or', 'anything', 'but', '.....', 'i', 'just', 'want', 'to', 'say', 'you', 'guys', 'made', 'my', 'day', 'with', 'this', 'thread', '.', 'i', 'start', 'my', 'first', 'flying', 'adventure', 'from', '@', 'triflight', 'next', 'week', '.', 'who', 'knows', '?', 'i', 'might', 'make', 'it', 'a', 'life', 'goal', 'to', 'visit', 'every', 'airport', 'at', 'least', 'once', 'pic.twitter.com/5v7m8oe8yv']","['anything', 'first', 'triflight', 'next', 'might', 'goal', 'every', 'least']"
113,"['we', ""'re"", 'here', '!', 'we', 'were', 'just', 'waiting', 'for', 'a', 'grand', 'entrance', '!', 'pic.twitter.com/uhmnncc1da']","['wait', 'entrance']"
114,"['@', 'flymemphis', 'where', 'are', 'you', '?', 'we', '’', 're', 'holding', 'down', 'the', 'tn', 'fort', 'by', 'ourselves', 'over', 'here', '!']","['flymemphis', 'tn']"
115,"['we', 'spy', 'bna']",['spy']
116,"['got', '‘', 'empic.twitter.com/drwdu66jsm']",[]
117,"['you', 'can', 'never', 'have', 'enough', '!', 'did', 'you', 'know', 'that', '3:05', 'is', 'the', 'official', 'cafecito', 'time', 'of', 'miami', '?', 'pic.twitter.com/uzwvepmrup']","['never', 'enough', 'cafecito', 'time']"
118,['sidebar'],['sidebar']
119,"['dear', '@', 'flysfo']",[]
120,"['come', 'on', '@', 'atlairport', 'don', '’', 't', 'be', 'bashful', '!', 'join', 'in', '!']",['bashful']
121,"['mr.', '305', 'aka', 'mr.', 'worldwide']","['aka', 'worldwide']"
122,"['@', 'changiairport', 'care', 'to', 'join', 'them', '?']",['care']
123,"['shall', 'we', 'ask', 'mr.', 'worldwide', 'if', 'he', 'approves', 'of', 'this', '#', 'airporttwitter', 'movement', '?', '@', 'pitbullpic.twitter.com/myn1nbeeid']","['shall', 'worldwide', 'approve', 'movement']"
124,"['paging', 'asia', '.']",[]
125,"['let', ""'s"", 'go', 'to', 'the', 'movies', '...', 'in', 'the', 'sky', '.', '#', 'throwback', 'to', 'highlights', 'from', 'the', 'record-setting', '#', 'theceomovie', 'film', 'premiere', 'on', 'board', '@', 'airfrance', 'https', ':', '//youtu.be/ohco_0vmklu', '#', 'airporttwitter', '#', 'avgeekpic.twitter.com/zdmdjc2q6p']","['throwback', 'highlight', 'theceomovie', 'premiere']"
126,"['welcome', 'to', 'the', 'thread']",[]
127,"['mention', 'was', 'made', 'of', 'the', 'record-setting', 'in-flight', 'premiere', 'of', '#', 'theceomovie', 'by', 'ace', 'director', '@', 'kunleafolayan', 'in', 'june', '2016', 'but', 'this', 'was', 'apparently', 'not', 'picked', 'up', 'by', '#', 'gwr', 'https', ':', '//twitter.com/losairport/status/738423362125475840', '….pic.twitter.com/l8quwlfah6']","['premiere', 'theceomovie', 'ace', 'kunleafolayan', 'gwr']"
128,"['we', '’', 'd', 'welcome', 'that', 'with', 'open', 'arms']","['open', 'arm']"
129,"['#', 'foundinmiami', 'this', 'special', 'edition', 'bottle', 'of', 'johnnie', 'walker', 'blue', 'label', '.', 'only', 'available', 'at', 'mia', '!', 'pic.twitter.com/goxugpy5zb']","['foundinmiami', 'special', 'edition', 'johnnie', 'label', 'available']"
130,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
131,['woahpic.twitter.com/hp4f6ynmoz'],[]
132,"['the', 'one', 'and', 'only', '.', 'need', 'we', 'say', 'more', '.', 'you', 'can', 'buy', 'a', 'bottle', 'at', 'bna', 'and', 'take', 'it', 'home', 'with', 'you', 'too', '.', 'just', 'sayin', '’', '.', '#', 'airporttwitterpic.twitter.com/nmbcsvsqvo']","['one', 'buy', 'take', 'sayin']"
133,"['love', 'this', 'thread', '.', 'maybe', 'some', 'of', 'the', 'airlines', 'could', 'get', 'involved', 'too', '?', '!']","['love', 'could', 'involve']"
134,"['my', 'home', 'base', 'is', '@', 'flysfo']",[]
135,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
136,"['beer', 'is', 'good', '.', 'our', 'cask', '&', 'larder', 'restaurant', 'has', 'their', 'own', 'local', 'brewery', 'and', 'lots', 'of', 'southern', 'hospitality', '.', 'pic.twitter.com/wja7ov3yjy']","['beer', 'cask', 'larder', 'restaurant', 'local', 'brewery', 'southern', 'hospitality']"
137,"['#', 'airporttwitter', 'is', 'still', 'going', '?', 'well', 'being', 'as', 'britain', ""'s"", 'still', 'awake']","['still', 'well', 'britain', 'still']"
138,"['it', 'was', 'announced', 'today', 'that', 'all', '.', 'state', 'drivers', 'licenses', 'are', 'ok', 'until', '2020']",['license']
139,"['i', ""'m"", 'at', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
140,"['heading', 'home', '!', 'let', ""'s"", 'go', '!', '(', '@', 'san', 'francisco', 'international', 'airport', '-', '@', 'flysfo', 'in', 'san', 'francisco']",[]
141,"['we', ""'ll"", 'raise', 'a', 'glass']",[]
142,"['do', ""n't"", 'forget', 'about', 'us', '!', 'from', '@', 'eastendbrewing', 'to', '@', 'pennbrewery', 'pit', 'loves', 'its', 'local', 'craft', 'beers', '!', 'pic.twitter.com/0jljclw0b8']","['u', 'eastendbrewing', 'pennbrewery', 'love', 'local', 'craft', 'beer']"
143,"['fact', '^^pic.twitter.com/dfn4puswjx']",[]
144,"['craft', 'beer']","['craft', 'beer']"
145,"['rt', 'southboundbrews', ':', 'rt', 'fly_sav', ':', 'yvrairport', 'phxskyharbor', 'foundersbrewing', 'fly_cid', 'iflymia', 'flysfo', 'flyict', 'fly_bur', 'mco', 'flygrford', 'fly_nashville', 'gatewayairport', 'dfwairport', 'slcairport', 'flypdx', 'dallaslovefield', 'pitairport', 'sandiegoairport', 'gwr', 'fly_skyxe', 'flyyow', 'flyyqr', 'f…', 'pic.twitter.com/qaszdbli4r']","['southboundbrews', 'flyict', 'flygrford', 'gatewayairport', 'slcairport', 'dallaslovefield', 'pitairport', 'gwr', 'flyyow', 'flyyqr']"
146,"['all', 'the', 'way', 'from', 'brazil', '!', '#', 'airporttwitter', 'really', 'going', 'global', '.']",['brazil']
147,"['did', 'you', 'say', 'free', 'samples', '?']","['free', 'sample']"
148,"['right', 'behind', 'you.pic.twitter.com/ajntyu3zzn']",['behind']
