,words,counts
1270,cluster,4.0
1271,clutch,4.0
1272,complicit,4.0
1273,compliment,4.0
1274,concrete,4.0
1275,consecutive,4.0
1276,consolidate,4.0
1277,convenient,4.0
1278,conversation,4.0
1279,cooke,4.0
1280,copa,4.0
1281,copenhagen,4.0
1282,cranky,4.0
1283,cruise,4.0
1284,cuddle,4.0
1285,cupcake,4.0
1286,custody,4.0
1287,customize,4.0
1288,cutie,4.0
1289,dammit,4.0
1290,darling,4.0
1291,david,4.0
1292,dca,4.0
1293,dcairports,4.0
1294,deboard,4.0
1295,dec,4.0
1296,decorate,4.0
1297,dedicated,4.0
1298,def,4.0
1299,defeat,4.0
1300,demo,4.0
1301,descend,4.0
1302,detailed,4.0
1303,detour,4.0
1304,development,4.0
1305,dia,4.0
1306,disappear,4.0
1307,disgraceful,4.0
1308,disgust,4.0
1309,disrupt,4.0
1310,diversity,4.0
1311,donation,4.0
1312,dope,4.0
1313,douglas,4.0
1314,drug,4.0
1315,eastbaytimes,4.0
1316,education,4.0
1317,elica,4.0
1318,empathy,4.0
1319,encourage,4.0
1320,endanger,4.0
1321,england,4.0
1322,enroll,4.0
1323,entirely,4.0
1324,entitle,4.0
1325,equal,4.0
1326,escalator,4.0
1327,escape,4.0
1328,escort,4.0
1329,eta,4.0
1330,evacuation,4.0
1331,eventually,4.0
1332,exact,4.0
1333,expansion,4.0
1334,expression,4.0
1335,exquisite,4.0
1336,fab,4.0
1337,fairly,4.0
1338,familiesout,4.0
1339,fantasy,4.0
1340,farm,4.0
1341,farmer,4.0
1342,farsi,4.0
1343,fav,4.0
1344,fedex,4.0
1345,fish,4.0
1346,flightattendant,4.0
1347,flyeia,4.0
1348,flyhia,4.0
1349,flyvolaris,4.0
1350,football,4.0
1351,forbes,4.0
1352,foreign,4.0
1353,forgot,4.0
1354,forth,4.0
1355,foursquarefind,4.0
1356,foxnews,4.0
1357,frankie,4.0
1358,fri,4.0
1359,frisco,4.0
1360,frozen,4.0
1361,frustrate,4.0
1362,ftlauderdale,4.0
1363,gallery,4.0
1364,gamesofchance,4.0
1365,garden,4.0
1366,generation,4.0
1367,gensler,4.0
1368,german,4.0
1369,girlfriend,4.0
1370,glorious,4.0
1371,glutenfree,4.0
1372,gogo,4.0
1373,goodie,4.0
1374,goody,4.0
1375,gourmet,4.0
1376,gov,4.0
1377,greedy,4.0
1378,grey,4.0
1379,grip,4.0
1380,guarantee,4.0
1381,guard,4.0
1382,guided,4.0
1383,gusty,4.0
1384,gym,4.0
1385,hack,4.0
1386,hassle,4.0
1387,hearing,4.0
1388,henselphelps,4.0
1389,highway,4.0
1390,hiring,4.0
1391,hkairport,4.0
1392,holidaytravel,4.0
1393,holocaust,4.0
1394,homebound,4.0
1395,hongkong,4.0
1396,hostage,4.0
1397,hotline,4.0
1398,hudson,4.0
1399,hurricane,4.0
1400,icn,4.0
1401,ig,4.0
1402,iii,4.0
1403,imo,4.0
1404,imperial,4.0
1405,inability,4.0
